id,timestamp,datestamp,business_id,order_source,order_status,external_order_id,external_customer_id,product_source,product_id,variant_id,category,vendor,quantity,price,cost,total
1019406,1681802051,2023-04-18T02:14:11-05:00,1291,Shopify,placed,5062212026450,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,15.75,0,31.5
1344813,1681656383,2023-04-16T09:46:23-05:00,1328,Shopify,placed,5020700967104,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
997672,1681574151,2023-04-15T10:55:51-05:00,1291,Shopify,placed,5058508062802,6013262266450,Shopify,10327601929,1759271190537,Coffee,Lattitude Coffees,2,18.5,0,37
1019407,1680598814,2023-04-04T04:00:14-05:00,1291,Shopify,placed,5043398246482,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,17.5,0,35
997673,1680363168,2023-04-01T10:32:48-05:00,1291,Shopify,placed,5039579955282,6013262266450,Shopify,10327601929,1759271190537,Coffee,Lattitude Coffees,2,18.5,0,37
1344814,1679966368,2023-03-27T20:19:28-05:00,1328,Shopify,placed,4997192220864,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
1019408,1679389098,2023-03-21T03:58:18-05:00,1291,Shopify,placed,5023405211730,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,17.5,0,35
1351083,1679342843,2023-03-20T15:07:23-05:00,1328,Shopify,placed,4987913142464,2118172704883,Shopify,7350456090816,43159797039296,Insurance,Route,1,0.98,0,0.98
1351082,1679342843,2023-03-20T15:07:23-05:00,1328,Shopify,placed,4987913142464,2118172704883,Shopify,1077700853875,16451284762739,Espresso,Looking Glass,1,20.5,0,20.5
1351081,1679342843,2023-03-20T15:07:23-05:00,1328,Shopify,placed,4987913142464,2118172704883,Shopify,4557007454323,31935442616435,Espresso,Looking Glass,1,20.5,0,20.5
1351080,1679342843,2023-03-20T15:07:23-05:00,1328,Shopify,placed,4987913142464,2118172704883,Shopify,1204661977203,16451929768051,Blends,Looking Glass Coffee Store,1,21.5,0,21.5
1342595,1679295202,2023-03-20T01:53:22-05:00,1328,Shopify,placed,4987101020352,3029473394803,Shopify,1545686843507,29178367443059,NULL,Looking Glass Coffee Store,1,48.5,0,48.5
997675,1678653474,2023-03-12T15:37:54-05:00,1291,Shopify,placed,5011753140306,6013262266450,Shopify,10327601929,1759271190537,Coffee,Lattitude Coffees,1,18.5,0,18.5
